Map ID,MapArea,MapMaker,MapYear,MapHeight,MapWidth,MapTitle,description,MapPrice,MapInfoMemo,Location (Physical),tag
4291,Civil War,Abbott's Civil War,1865c,4,8,Naval Battles of the Civil War,Views of the naval battles,60,15 ea. Cleaned,1,SELL
1947,"Mass.,Conn.,","Atlantic Coast Pilot,",1879*,14,17,"Gulf of Maine, Current Stations","Soundings and coastline from Rockland,Me down to New Bedford,Mass.Nantucket,Cape etc shown with soundings.Dtd in plate. Excellent condn.",85,,1,SELL
1939,Mass.,"Atlantic Coast Pilot, Boston to N.Y",1880,10,14,Provincetown Harbor,"Finely engraved  with hand color,1880.Marine and land detail.",110,,1,
2983,Mass.,"Blunt, Edmund M.",1854*,8,10,"Boston Harbor, from the Surveys of A.S.Wadsworth Esq USN and rthe Chart of Des Barres","Detailed soundings in Boston Harbor,filled with islands.",75,$95 in past,1,
469,"Civil War,Va.",Johnson and Ward,1862*,18,24,Johnson's Map Of The Vicinity Of Richmond And Peninsula Campaign In Virginia,This map traces the route and battles of the Peninsula Campaign of 1862.Hand colored.,110,,1,SELL
2105,Civil War,misc.,,,,land battles of Civil War,"A small group of engravings depicting battles of the Civil War,12",100,,1,SELL
4919,Civil War,misc.,,,,Civil War Generals,A group of engravings of Civil War Generals and others (22).cleaned.,300,,1,SELL
3283,"Mo.,Ill.",U.S.,1864,22.5,15 1/4,"Mississippi River,Sheet No.3, ,41 To 61 Miles Above Cairo","Some b.a.f. Mocassinville,Kenny's Pt.,Devil's Is.,Cape Girardeau City,Gray's Pt.",165,completed chart,1,
3284,"Mo.,Ill.",U.S.,1864,23,15 5/8,"Mississippi River,Sheet No.4,62 To 78 Miles Above Cairo","mild b.a.f.,Wittenberg,Tower Island,Sheffield,Preston,Hanging Dog Is.",165,completed chart,1,
3285,"Mo.,Ill.",U.S.,1864,22.5,15 1/4,"Mississippi River,Sheet No.5  ,78 To 96 Miles Above Cairo","sl. b.a.f. Cape Cinque Homme,Devil's Backbone,Laurel Hill, Negro Pt.,Wittenberg",165,completed chart,1,
3286,"Mo.,Ill.",U.S.,1864,22 3/8,15.5,"Mississippi River,Sheet No.6, 96 To 115 Miles Above Cairo","sl. B.a.f.. St.Mary's,Kaskia Pt.,Chester,St.Mary's Isl., Port Perry, Liberty",185,completed chart,1,
4614,Texas,U.S.Army,1853c,16,34,Map of the Country Upon Upper Red River Explored In 1852,".Interesting, shows Indian Lands,""Unexplored Texas,""Indian Territories"". Kioways,Comanches,Choctaw and Chickshaw Terr.",295,"Exploration of the Upper Red River. Fragile and small area damaged, government map.",1,SELL
3282,"La.,Miss.",U.S.C.S.,1864*,20 3/4,16 5/8,"Sheet No.1 Mississippi River,Rodney,St.Joseph,Buinsburg.  Recon. for the use of the Miss.Squadron",mild baf. Lee's plantation located.,200,completed chart,1,
611,Maine,U.S.C.S.,1854,27,21.5,Portland Harbor,Large and detailed map of the harbor area with sailing directions and dangers discussed.Completed chart.,95,sl.baf.,1,SELL
3252,MAINE,U.S.C.S.,1854*,27,22,Portland Harbor,"Large and detailed map of the harbor area with sailing directions and dangers discussed.needs restorationALSO 1855,1862 AND ANOTHER 1854.b.a.f.",35,damaged.cracks taped  archivaly.,1,SELL
2086,Mass.,U.S.C.S.,1848*,8,9,Boston Harbor,A U.S.Coastal Survey map of this area.some color,45,,1,
3280,"Mo.,Ill.",U.S.C.S.,1865,22.5,15.5,"Mississippi River, Sheet No.2, 25 To 41 Miles Above Cairo","shows Gray's Point,Santa Fe,named islands,down to Price's Tow Head.mild b.a.f.",165,completed chart,1,
3281,"Mo.,Ill.",U.S.Coast Survey,1865*,23,15 3/8,"Mississippi River, from Cairo Ill. To St. Marys  Mo. In Vl sheets. Sheet No.1 1 to 25 mi. above Cairo,Ill.","Miss R. and Ohio R. Dog Tooth Bend,Abel's Bend,Cairo,Bied's Pt.",185,completed chart,1,
4762,Mass.,USCGS,1880,24,13,Buzzard's Bay,Detailed land sites.Completed chart.shows light houses,125,,1,SELL
1182,"Ala.,La.",USCS,1857*,19,40,"Sea Coast of the U.S. from Mobile Bay,Ala. To Lake Bogue, La.",Large completed chart of the Miss. And Ala.coast.Highly detailed,435,,1,SELL
1660,Alabama,USCS,1851*,17,13,Mobile Bay,"Large map of the Bay with Sailing Directions,Tides,Winds discussed.side margins  added.Age toned",55,,1,
1822,Alabama,USCS,1847*,8,10,Mobile Bay,"Early charting of the bay by Lt.Com.C.P.Patterson,USN Asst.C.S. Sailing Directions add interest.Uncolored. One of the earliest charts USCS",85,,1,SELL
2339,Alabama,USCS,1851*,17,13 3/8,"Mobile Bay,USCS","Large map of the Bay with Sailing Directions,Tides,Winds discussed.Completed chart",185,left margin added skillfully. See #1660,1,SELL
5791,Alabama,USCS,1856*,38,28,Mobile Bay,"Large map of the bay with Sailing Directions,Tides,Winds discussed..Age toned some, with folds as issued.Still handsome.Completed chart.",485,,1,SELL
3604,"Del.,Va.,Md.",USCS,1871*,34,22,"USCS,Sketch C,Section lll, (Chesapeake Bay etc.)","Large detailed map of the bay.see duplicate 3263. some baf, small repairs.",285,,1,SELL
1524,Del.etc.,USCS,1851*,34,20,"Sketch C, Section lll","Chesapeake Bay, N.J. etc.large,detailed,early triangulations",125,,1,SELL
3369,East Coast of U.S.,USCS,1854,21,14,"Winyah Bay and Cape Roman Shoals, S.C. 1854","fragile,completed chart.",65,,1,
162,louisiana,USCS,1855*,10.75,12.5,"Entrance to Vermillion Bay & Calcasieu River,La.",Completed chart.,95,,1,SELL
1736,Louisiana,USCS,1851*,14,12 3/8,"The Delta of the Mississippi, showing the changes since 1839",Completed and detailed chart with  Soundings.Sailing Directions.,110,sl. Baf,1,
274,Maine,USCS,1862*,28.5,25.5,Portland Harbor,Completed chart. Detailed handsome map of the city and nearby islands and coast. Folded with some baf.,350,"Inset,approaches to Portland Harbor. View of harbor.",1,SELL
436,Maine,USCS,1871*,17.75,28.5,"Sketch A,Section No. l (Maine)",Coastal Maine triangulations.,55,,1,SELL
599,Maine,USCS,1855*,22,20,"Portland Harbor, Maine",Completed chart.Shows wharfs and Portland Bridge. Sl baf.,95,,1,SELL
1545,Maine,USCS,1892,8,27,"Plan Of The Penobscot River , Maine","Details of the river.Colored.Ice houses located,saw mills,ship yards, mills etc.",75,,1,SELL
3251,MAINE,USCS,1872*,39,26,"Damariscotta And Medomak Rivers, Maine","Detailed large engraved map of the area.Completed chart.some baf,mild,repairs.",235,,1,SELL
3594,MAINE,USCS,1862*,38,23,"Kennebec And Sheepscott Rivers, Maine",Large and beautifully engraved map of these rivers.Dramatic and full of interesting details.some b.a.f.,345,,1,SELL
3600,Maine,USCS,1867*,18,28,"Sketch A,Section No.1 (Me.)",Mapping of the coast of Maine.Early place names and triangulations are seen.Some color.,95,,1,SELL
4761,Maine,USCS,1863*,17,18,Eastern End of Deer Island,"Partial color.Highly finished map, full of topographic details. Signed in the plate by John Smith, Assn't USCS.",95,,1,SELL
4881,Maine,USCS,1867*,19,15,Winter Harbor,"color printed, some browning only in margins.Completed chart.Handsome color.",95,,1,SELL
